Player,Club,Nationality
Edouard Mendy,Chelsea FC,Senegal
Kepa,Chelsea FC,Spain
Kurt Zouma,Chelsea FC,France
Andreas Christensen,Chelsea FC,Denmark
Antonio Rüdiger,Chelsea FC,Germany
Ethan Ampadu,Chelsea FC,Wales
Thiago Silva,Chelsea FC,Brazil
Jake Clarke-Salter,Chelsea FC,England
Ben Chilwell,Chelsea FC,England
Marcos Alonso,Chelsea FC,Spain
Emerson,Chelsea FC,Italy
Reece James,Chelsea FC,England
César Azpilicueta,Chelsea FC,Spain
N'Golo Kanté,Chelsea FC,France
Jorginho,Chelsea FC,Italy
Mateo Kovacic,Chelsea FC,Croatia
Ross Barkley,Chelsea FC,England
Ruben Loftus-Cheek,Chelsea FC,England
Conor Gallagher,Chelsea FC,England
Mason Mount,Chelsea FC,England
Kai Havertz,Chelsea FC,Germany
Hakim Ziyech,Chelsea FC,Morocco
Charly Musonda Jr.,Chelsea FC,Belgium
Callum Hudson-Odoi,Chelsea FC,England
Christian Pulisic,Chelsea FC,United States
Timo Werner,Chelsea FC,Germany
Tammy Abraham,Chelsea FC,England
Michy Batshuayi,Chelsea FC,Belgium
Olivier Giroud,Chelsea FC,France
