Player,Club,Nationality
Thibaut Courtois,Real Madrid,Belgium
Andriy Lunin,Real Madrid,Ukraine
Raphaël Varane,Real Madrid,France
Éder Militão,Real Madrid,Brazil
Nacho Fernández,Real Madrid,Spain
Ferland Mendy,Real Madrid,France
Marcelo,Real Madrid,Brazil
Daniel Carvajal,Real Madrid,Spain
Álvaro Odriozola,Real Madrid,Spain
Casemiro,Real Madrid,Brazil
Fede Valverde,Real Madrid,Uruguay
Toni Kroos,Real Madrid,Germany
Luka Modric,Real Madrid,Croatia
Martin Ødegaard,Real Madrid,Norway
Isco,Real Madrid,Spain
Eden Hazard,Real Madrid,Belgium
Vinícius Júnior,Real Madrid,Brazil
Marco Asensio,Real Madrid,Spain
Rodrygo,Real Madrid,Brazil
Lucas Vázquez,Real Madrid,Spain
Karim Benzema,Real Madrid,France
Luka Jovic,Real Madrid,Serbia
Mariano Díaz,Real Madrid,Dominican Republic
